"Ceremony","Award_Name"
"Bearfest - Big Bear Lake International Film Festival","Lifetime Achievement Award"
"Women Film Critics Circle Awards","Courage in Filmmaking Award"
"Woodstock Film Festival","Audience Award"
"Razzie Awards","Worst Career Achievement Award"
"Cinequest San Jose Film Festival","Maverick Spirit Award"
"Florida Film Festival","Grand Jury Award"
"Stony Brook Film Festival","Festival Achievement Award"
"Vancouver International Film Festival","Best Western Canadian Feature Film"
"WorldFest Houston","Special Jury Award"
"WorldFest Houston","Silver Award"
"Biberach Film Festival","Honorable Mention"
"Yubari International Fantastic Film Festival","Grand Jury Prize"
"Fantafestival","Grand Prize of European Fantasy Film in Silver"
"Málaga Spanish Film Festival","Golden Biznaga"
"Leipzig DOK Festival","Audience Award"
"Potsdam Sehsüchte","Audience Award"
"Behind the Voice Actors Awards","BTVA People's Choice Voice Acting Award"
"US Comedy Arts Festival","Audience Award"
"Brussels International Film Festival","Best Belgian Film - Special Mention"
"Jutra Awards","Jutra"
"San Sebastián International Film Festival","C.I.C.A.E. Award - Special Mention"
"New York International Independent Film & Video Festival","Genre Award"
"Eberswalde Film Festival","Grand Prize"
"Eberswalde Film Festival","Grand Riser"
"Moscow International Film Festival","Special Silver Prize"
"Schwerin Art of Film Festival","Golden Ox"
"Torino Film Festival","Cult Award"
"Verona Love Screens Film Festival","Youth Jury Award"
"Milan International Lesbian and Gay Film Festival","Special Mention"
"TeleStar, Germany","Promotional Award"
"Brussels International Festival of Fantasy Film (BIFFF)","Silver Méliès"
"Cologne Conference","TV Movie Award"
"Fantasia Film Festival","L'Écran Fantastique Award"
"Geneva Film Festival","TV Movie Award"
"Lecce Festival of European Cinema","FIPRESCI Prize"
"Málaga International Week of Fantastic Cinema","Audience Award"
"Biberach Film Festival","Festival Prize"
"Karlovy Vary International Film Festival","Freedom Award"
"Rome Film Fest","Golden Butterfly"
"Williamsburg Brooklyn Film Festival","Certificate of Excellence"
"Cognac Festival du Film Policier","Best Director"
"Havana Film Festival","Honorary Award"
"San Sebastián International Film Festival","Guipuzcoan Blood-Donors' Association Corresponding to the Solidarity Award"
"Baden-Baden TV Film Festival","Teleplay Award - Special Recommendation"
"Prague Independent Film Festival","Golden Statuette"
"Venice Film Festival","Children and Cinema Award - Special Mention"
"Berlin International Film Festival","Children's Film Festival: Award of the Senator for Women, Youth and Family"
"Nederlands Film Festival","TV Film Award"
"Rehoboth Beach Independent Film Festival","Audience Award"
"Scottsdale International Film Festival","Audience Award"
"Toronto Sprockets International Film Festival for Children","Young People's Jury Award"
"GLAAD Media Awards","Vito Russo Award"
"Sundance Film Festival","Short Filmmaking Award - Honorable Mention"
"SACD Awards","TV Award"
"German Television Awards","Special Award"
"Karlovy Vary International Film Festival","Festival President's Award"
"Munich Film Festival","Chaplin Shoe"
"Romy Gala, Austria","Platin Romy"
"Zurich Film Festival","Golden Eye for Lifetime Achievement"
"Autores Awards, Portugal","Prémio Autores"
"Environmental Media Awards, USA","Award for Ongoing Commitment"
"Retirement Research Foundation, USA","Wise Owl Award - Honorable Mention"
"New York City Horror Film Festival","Best Special Effects"
"Warsaw International Film Festival","Warsaw Award"
"Baden-Baden TV Film Festival","Hans Abich Award"
"Bavarian TV Awards","Special Award"
"Romy Gala, Austria","Special Prize of the Jury"
"Berlin International Film Festival","Netpac Award"
"Fribourg International Film Festival","Don Quixote Award"
"Nantes Three Continents Festival","Award of the City of Nantes"
"Singapore International Film Festival","FIPRESCI/NETPAC Award - Special Mention"
"Singapore International Film Festival","Special Mention"
"Singapore International Film Festival","Young Cinema Award"
"Venice Film Festival","Doc/It Award"
"Vesoul Asian Film Festival","Grand Prize of the International Jury"
"Vesoul Asian Film Festival","Golden Wheel"
"Vila do Conde International Short Film Festival","Grand Prize"
"Kinofest Lünen","Award of the City of Lünen"
"David di Donatello Awards","60th Anniversary David"
"David di Donatello Awards","Alitalia Award"
"Venice Film Festival","Cinema 60 Award"
"Academy Awards, USA","Technical Achievement Award"
"Deauville Film Festival","Lucien Barrière Literary Award"
"People's Artist of the USSR","People's Artist of the USSR"
"Mystfest","Best Original Idea"
"Sitges - Catalonian International Film Festival","Clavell de Plata"
"Moscow International Film Festival","Diploma"
"Berlin International Film Festival","Prize of the Senator for People's Education"
"Awards of the Japanese Academy","Special Award"
"Montréal World Film Festival","Best Artistic Contribution"
"Venice Film Festival","Award of the City of Imola"
"Thessaloniki Film Festival","Honorary Award"
"Cognac Festival du Film Policier","Grand Prix Téléfilm"
"Academy Awards, USA","Jean Hersholt Humanitarian Award"
"Director's View Film Festival","Dorothy Arzner Prize"
"Changchun Film Festival","Golden Deer"
"Locarno International Film Festival","Leopard Career Award"
"Osaka Asian Film Festival","Grand Prix"
"Rotterdam International Film Festival","Big Screen Award"
"Seattle International Film Festival","Asian Trade Winds Award"
"Sitges - Catalonian International Film Festival","Focus Asia Award"
"Sitges - Catalonian International Film Festival","Orient Express Award - Special Mention"
"Sitges - Catalonian International Film Festival","Carnet Jove Jury Award"
"Udine Far East Film Festival","Golden Mulberry Award"
"Udine Far East Film Festival","Black Dragon Audience Award"
"Annecy International Animated Film Festival","FNAC Award"
"Gramado Film Festival","Special Jury Award"
"José María Forqué Awards","Golden Medal"
"Les Arcs European Film Festival","Cineuropa Award"
"Peñíscola Comedy Film Festival","Best Director"
"San Diego International Film Festival","Patron's Award"
"Sitges - Catalonian International Film Festival","Best Special Effects"
"BAFTA Awards","Alan Clarke Award"
"London Film Festival","UK Achievement in Film Award"
"Venice Film Festival","Best Short Film"
"Abu Dhabi Film Festival","Child Protection Award"
"Buenos Aires International Festival of Independent Cinema","Best Screenplay"
"Fantasia Film Festival","AQCC Award"
"Mar del Plata Film Festival","ACCA Jury Prize"
"Santa Fe Film Festival","Milagro Award"
"Vesoul Asian Film Festival","Honorary Golden Wheel"
"Venice Film Festival","Award of the City of Venice"
"Writers Guild of America, USA","Herb Sargent Award"
"Cinestrange Film Festival","Lifetime Achievement Award"
"New York International Independent Film & Video Festival","Grand Jury Prize"
"Television Critics Association Awards","TCA Award"
"Viewers for Quality Television Awards","Q Award"
"Asian Film Awards","Lifetime Achievement Award"
"Nantes Three Continents Festival","Special Jury Award"
"Pusan International Film Festival","Asian Filmmaker of the Year"
"Málaga International Week of Fantastic Cinema","Youth Jury Award"
"Puchon International Fantastic Film Festival","Netizen's Choice Award"
"Yoga Awards","Special Award - 25th Anniversary"
"NatFilm Festival","Audience Award"
"Film+","Editing Award"
"Chinese American Film Festival (C.A.F.F.)","Golden Angel Award"
"Granada Film Festival Cines del Sur","Golden Alhambra"
"Cinequest San Jose Film Festival","Best First Feature"
"FEST International Film Festival","Jury Prize - National Program"
"Montréal World Film Festival","Innovation Award"
"Oldenburg Film Festival","German Independence Award - Audience Award"
"Warsaw International Film Festival","Free Spirit Award"
"Bratislava International Film Festival","Best Director"
"Cannes Film Festival","Regard Original Award"
"Cinefan - Festival of Asian and Arab Cinema","Asian and Arab Competition Award"
"Istanbul International Film Festival","FACE Award"
"Oslo Films from the South Festival","FIPRESCI Prize"
"Vesoul Asian Film Festival","Youth Award"
"Zanzibar International Film Festival","The Golden Dhow"
"Cerano Film Festival","Jury Award"
"Flaiano Film Festival","Best Film"
"Montréal World Film Festival","Life Achievement Award"
"San Sebastián International Film Festival","Special Mention"
"Venice Film Festival","Award of the Society for Psychology"
"Venice Film Festival","Golden Rudder"
"Málaga Spanish Film Festival","Audience Award"
"Santa Barbara International Film Festival","Audience Choice Award"
"Biarritz International Festival of Audiovisual Programming","Honorary Euro-FIPA"
"Annecy International Animated Film Festival","FIPRESCI Prize"
"Annecy International Animated Film Festival","Grand Prix"
"Buster International Children's Film Festival","Buster's Short Film Award"
"Hiroshima International Animation Festival","Special Prize"
"Leipzig DOK Festival","Silver Dove"
"Ottawa International Animation Festival","Mike Gribble Peel of Laughter Award"
"Ottawa International Animation Festival","ASIFA-International Award"
"Ottawa International Animation Festival","Merit Award"
"Zagreb World Festival of Animated Films","Special Jury Award"
"Athens International Film Festival","City of Athens Award"
"Festival D Cinema De Paris","Prix Nouveau Genre"
"Haifa International Film Festival","Fedeora Award"
"Palic Film Festival","Golden Tower"
"Pune International Film Festival (PIFF)","Festival Prize"
"Sarajevo Film Festival","Heart of Sarajevo"
"Seattle International Film Festival","Audience Award"
"Strasbourg International Film Festival","Festival Prize"
"Sweden Fantastic Film Festival","Grand Prize of European Fantasy Film in Gold"
"Venice Film Festival","Label Europa Cinemas"
"Los Angeles Greek Film Festival (LAGFF)","Orpheus Award"
"Tallinn Black Nights Film Festival","Best North American Independent Film"
"Australian Writers' Guild","Awgie Award"
"Stamped Pensacola LGBT Film Festival","Stamped Award"
"Nederlands Film Festival","Youth Award"
"Hamptons International Film Festival","Best Documentary Feature"
"Montréal Comedy Festival 'Just for Laughs'","Festival Prize"
"Kids' Choice Awards, USA","Wannabe Award"
"MTV Movie + TV Awards","MTV Generation Award"
"David di Donatello Awards","Career David"
"Golden Globes, Italy","Alitalia Award"
"Tehran International Film Festival","Golden Ibex"
"Málaga Spanish Film Festival","Special Jury Award"
"Athens Outview Film Festival","Festival Prize"
"Aye Aye International Film Festival","Special Jury Prize"
"Honolulu Rainbow Film Festival, US","Festival Award"
"Montréal World Film Festival","Prix Special du Festival"
"Venice Film Festival","Sergio Trasatti Award - Special Mention"
"Amsterdam International Documentary Film Festival","Best Dutch Documentary"
"Honolulu International Festival (I)","Gold Kahuna Award"
"Las Vegas International Film Festival","Silver Ace Award"
"Los Angeles FirstGlance Film Festival","Festival Award"
"Mexico International Film Festival","Golden Palm Award"
"Ojai Film Festival","Honorable Mention"
"Rencontres Internationales du Cinema des Antipodes","Audience Award"
"Sacramento Film and Music Festival","Audience Award"
"Sedona International Film Festival","Audience Choice"
"SoHo International Film Festival","Festival Prize"
"American Cinema Foundation, USA","Carl Foreman Prize"
"American Television Awards","American Television Award"
"Blockbuster Entertainment Awards","Filmmaker Award"
"Milano International Film Festival Awards (MIFF Awards)","Best Supporting Actor"
"MovieGuide Awards","Grace Award"
"New York International Film and TV Festival","Gold Medal"
"Palm Springs International Film Festival","Icon Award"
"Deauville Asian Film Festival","Action Asia Award"
"Fantasia Film Festival","Audience Award"
"Fantasia Film Festival","Guru Prize for Most Energetic Film"
"Neuchâtel International Fantastic Film Festival","Imaging the Future Award"
"Neuchâtel International Fantastic Film Festival","Imaging the Film Award"
"Neuchâtel International Fantastic Film Festival","Jury Award"
"San Francisco Indiefest","Audience Award"
"Sweden Fantastic Film Festival","Honorable Mention"
"NRJ Ciné Awards","NRJ Ciné Award"
"Ouagadougou Panafrican Film and Television Festival","UNICEF Woman Promotion Award"
"Eberswalde Film Festival","Special Mention"
"Nederlands Film Festival","Honorable Mention"
"BIFEST - Bari International Film Festival","Platinum Award for Cinematic Excellence"
"Cinéfest Sudbury","International Audience Choice Award"
"Phoenix Film Festival","Copper Wing Award"
"Giffoni Film Festival","CGS Award"
"Los Angeles Area Emmy Awards","Emmy"
"Cinema Writers Circle Awards, Spain","""""""""Jimeno"""""""" Revelation Award"
"Goya Awards","Honorary Goya"
"Avoriaz Fantastic Film Festival","Fear Section Award"
"Boston Society of Film Critics Awards","Special Award"
"Venice Film Festival","Best Color Film"
"Fajr Film Festival","Audience Award"
"Breckenridge Festival of Film","Best of the Fest"
"Bangkok Film Festival","Audience Award"
"WorldFest Charleston","Bronze Award"
"Crime Thriller Awards, UK","Dagger"
"Evening Standard British Film Awards","Special Jury Award"
"Venice Film Festival","Queer Lion - Special Mention"
"Chileans Altazor Awards","Altazor Award"
"Havana Film Festival","Martin Luther King Memorial Center Award"
"José María Forqué Awards","Best Latin American Picture"
"Mannheim-Heidelberg International Filmfestival","Special Prize in Memoriam R.W. Fassbinder"
"Mannheim-Heidelberg International Filmfestival","FIPRESCI Prize - Special Mention"
"Valdivia International Film Festival","Special Mention"
"Valdivia International Film Festival","Critics Award"
"Art Film Festival","Audience Award"
"Bafta TV Craft","BAFTA Television Craft Award"
"Broadcast Awards, UK","Broadcast Awards"
"Action on Film International Film Festival, USA","Action on Film Award"
"Florida Film Festival","Lifetime Achievement Award"
"Hawaii International Film Festival","EuroCinema Hawai'i Lifetime Achievement Award"
"Malibu Film Festival","Independent Filmmaker Award"
"New Media Film Festival","Legend Award"
"Ale Kino! - International Young Audience Film Festival","Audience Award"
"Ale Kino! - International Young Audience Film Festival","The Organiser's Prize"
"International Film Festival of India","Silver Peacock"
"Istanbul International Film Festival","Honorary Award"
"Joseph Plateau Awards","Joseph Plateau Award of Honour"
"Locarno International Film Festival","Swiss Critics Boccalino Award"
"Seville European Film Festival","Ocaña Award"
"Anchorage International Film Festival","Audience Choice Award"
"APKIT Awards","APKiT"
"Chicago International Film Festival","World Peace Prize"
"Moscow International Film Festival","Russian Film Clubs Federation Award"
"Sochi Open Russian Film Festival","Grand Prize (Second Prize)"
"Sochi Open Russian Film Festival","Prize of the Guild of Russian Film Scholars and Film Critics"
"Mystfest","Best Actor"
"West Virginia Filmmakers Film Festival","Filmmaker of the Year"
"American Society of Cinematographers, USA","International Award"
"British Society of Cinematographers","BSC Lifetime Achievement Award"
"Brothers Manaki International Film Festival","Golden Camera 300 for Lifetime Achievement"
"ACIE Awards, Brazil","Audience Award"
"Cartagena Film Festival","Critics Award"
"Guadalajara International Film Festival","Special Jury Award"
"Huelva Latin American Film Festival","Special Jury Award"
"Rio de Janeiro International Film Festival","Audience Award"
"São Paulo International Film Festival","Petrobras Cultural de Difusão Award"
"Annonay International Festival of First Films","Lycéens Jury Prize"
"San Sebastián International Film Festival","Best Spanish Language Short Film"
"Turia Awards","Honorary Award"
"Directors Guild of America, USA","Frank Capra Achievement Award"
"Venice Film Festival","FEDIC Award - Honorable Mention"
"Venice Film Festival","Bisato d'Oro"
"Venice Film Festival","Luigi De Laurentiis Award - Special Mention"
"Venice Film Festival","Isvema Award"
"Venice Film Festival","'Cult Network Italia' Prize"
"Hiroshima International Animation Festival","Grand Prix"
"Ottawa International Animation Festival","Special Jury Prize"
"Vancouver Film Critics Circle","Honorary Award"
"Asia-Pacific Film Festival","Special Jury Award"
"Thailand National Film Association Awards","National Film Association Award"
"Yokohama Film Festival","Special Prize"
"Los Angeles Independent Film Festival Awards","LAIFF January Award"
"Chlotrudis Awards","Career So Far Award"
"Film Independent Spirit Awards","Producers Award"
"Sitges - Catalonian International Film Festival","""""""""Maria"""""""" Honorary Award"
"Williamsburg Brooklyn Film Festival","Audience Award"
"Primetime Emmy Awards","Bob Hope Humanitarian Award"
"Broadcast Film Critics Association Awards","Freedom Award"
"Houston Film Critics Society Awards","Humanitarian Award"
"Palm Springs International Film Festival","Chairman's Award"
"Satellite Awards","Special Achievement Award"
"VDKUF Award - Verein Deutscher Kritiker Und Filmemacher","VDKUF Award"
"Venice Film Festival","Human Rights Film Network Award - Special Mention"
"Tokyo Experimental Film Festival","Best Director"
"Ariel Awards, Mexico","Special Ariel"
"Canadian International Film & Video Festival","Student Award"
"Memphis Indie Film Festival","Indie Memphis Competiton"
"GayVN Awards","Hall of Fame"
"Toronto After Dark Film Festival","After Dark Spirit Award"
"Giffoni Film Festival","Young People's Jury Award"
"Baden-Baden TV Film Festival","MFG Star"
"Schwerin Art of Film Festival","Newcomer Promotional Award"
"ADIRCAE Awards","Honorary Award"
"Venice Film Festival","ENIC Cup"
"British Independent Film Awards","Richard Harris Award"
"Moscow International Film Festival","Prize"
"Wine Country Film Festival","Lifetime Achievement Award"
"San Sebastián International Film Festival","Best Spanish Language Film"
"Green Mountain Film Festival (GMFF)","Audience Award"
"Hartford Jewish Film Festival","Audience Award"
"Los Angeles Jewish Film Festival","Audience Award"
"Monte-Carlo TV Festival","Best Director"
"Popoli e Religioni Terni Film Festival","Jury Prize"
"Prix Italia","RAI Prize"
"Regards sur le cinema europeen","Audience Award"
"Under My Screen","'Under my Screen' Award"
"Fantasia Film Festival","Lifetime Achievement Award"
"Hermosillo International Film Festival, Mexico","Festival Prize"
"Locarno International Film Festival","Best Director"
"Amazonas Film Festival","Amazonas Award"
"Bermuda International Film Festival","Jury Prize"
"Brest European Short Film Festival","Grand Prix"
"FIKE - Évora International Short Film Festival","Audience Award"
"Leuven International Short Film Festival","Audience Award"
"Lille International Short Film Festival","First Prize"
"Sarlat International Cinema Festival","Audience Award"
"Golden Goblets, Italy","30th Anniversary Goblet"
"Italian National Syndicate of Film Journalists","Honorary Ribbon"
"Milano International Film Festival Awards (MIFF Awards)","Lifetime Achievement Award"
"Premio Berenice","La Chioma di Berenice"
"Thessaloniki Film Festival","Special Award"
"Viareggio EuropaCinema","Platinum Award for Cinematic Excellence"
"Palic Film Festival","Alexander Lifka Achievement Award"
"Brooklyn International Film Festival","Certificate of Excellence"
"Munich Film Festival","Bernd Burgemeister TV Movie Award (VFF)"
"Clermont-Ferrand International Short Film Festival","Best Screenplay"
"Manhattan Film Festival","Buzz Award"
"Gémeaux Awards","Gémeaux"
"Santa Barbara International Film Festival","Special Jury Prize for Artistic Merit"
"Berlin International Film Festival","Audience Poll: Small Bronze Plate"
"Baden-Baden TV Film Festival","Filmhochschule Ludwigsburg Student Jury Award"
"Castellinaria International Festival of Young Cinema","Bronze Castle"
"Coachella Valley Festival of Festivals","Best Overall Film"
"Erich Kästner Children's TV Award","Erich Kästner Award"
"Philadelphia Film Festival","Phantasmagoria Award"
"Phoenix International Horror & Sci-Fi Film Festival","Hall of Fame"
"San Francisco Fearless Tales Genre Fest","Fearless Vision Award"
"Mar del Plata Film Festival","FIPRESCI Prize - Special Mention"
"Edinburgh International Film Festival","The Michael Powell Award for Best British Feature Film"
"Würzburg International Filmweekend","Audience Award"
"Adelaide Film Festival","Don Dunstan Award"
"Art Film Festival","Golden Key"
"Venice Film Festival","Biennale Award"
"Venice Film Festival","Agriculture Ministry Cup"
"Chicago Gay and Lesbian International Film Festival","Best Narrative Short"
"Venice Film Festival","Plate"
"Mystfest","Special Award"
"Mar del Plata Film Festival","Special Mention"
"Sitges - Catalonian International Film Festival","CEC Medal"
"Moscow International Film Festival","NETPAC Award - Special Mention"
"Moscow International Film Festival","Russian Film Critics Award"
"Czech Gay and Lesbian Film Festival","Best Film"
"Oldenburg Film Festival","Otto Sprenger Award"
"Alcalá de Henares Short Film Festival","City of Alcalá Award"
"Alcalá de Henares Short Film Festival","Audience Award"
"Alcalá de Henares Short Film Festival","Community of Madrid Award"
"Badajoz Short Film Festival","Best Short Film"
"Huesca Film Festival","Golden Danzante"
"Iberoamerican Short Film Competition","Best Short Film"
"Lleida Latin-American Film Festival","Best Short Film"
"Miami Film Festival","Special Mention"
"Mons International Festival of Love Films","RTBF Award"
"Nantes Spanish Film Festival","Best Short Film"
"Venice Film Festival","UAAR Award"
"Philafilm - Philadelphia International Film Festival","Gold Award"
"Venice Film Festival","Grand Prize of the European Academy"
"TIFF Kids International Film Festival","Golden Sprocket Award"
"German Screen Actors Awards","DSP Award"
"Annecy Italian Cinema Festival","Grand Prix"
"Buenos Aires International Festival of Independent Cinema","Best Short Film"
"Capri, Hollywood","Capri Humanitarian Award"
"CineRockom International Film Festival","Gold Award"
"Italian National Syndicate of Film Journalists","Special Mention"
"Los Angeles Italian Film Awards","Los Angeles Italian Film Award"
"Los Angeles Italian Film Awards","Audience Award"
"Torino International Festival of Young Cinema","Audience Award"
"Santa Monica Film Festival","Maverick Filmmakers Award"
"Student Academy Awards, USA","Silver Medal"
"Hamburg Film Festival","Hamburg Producers Award"
"Amazonas Film Festival","Special Jury Award"
"Aspen Shortsfest","Special Jury Award"
"Cinema for Peace Awards","International Green Film Award"
"Dallas International Film Festival","Audience Award"
"Dallas International Film Festival","Target Filmmaker Award"
"Durban International Film Festival","Best Documentary"
"Durban International Film Festival","Special Jury Prize"
"Festin Lisboa Film Festival, PT","Honorable Mention"
"Festin Lisboa Film Festival, PT","Audience Award"
"New Hampshire Film Festival","Best Documentary Film"
"Paulínia Film Festival","Special Jury Award"
"Paulínia Film Festival","Audience Award"
"Port Townsend Film Festival","Best Documentary Film"
"Seattle International Film Festival","Documentary Special Jury Award"
"Seattle International Film Festival","Documentary Award"
"Sedona International Film Festival","Audience Award"
"Sheffield International Documentary Festival","EDA Award"
"Sundance Film Festival","Women in Film National Geographic All Roads Award"
"Sundance Film Festival","Short Film Jury Prize"
"São Paulo International Film Festival","Itamaraty Award"
"Tacoma Film Festival","Best Documentary Short"
"Telluride Mountainfilm Festival","Kids Film Award"
"Whistler Film Festival","Best Mountain Culture Film"
"Stardust Awards, India","Reader's Choice"
"The Ghanta Awards","Ghanta Award"
"Zee Cine Awards","Special Award"
"Luchon International Film Festival","Honorary Award"
"Peñíscola Comedy Film Festival","Critics Award"
"César Awards, France","César des Césars"
"Berlin International Film Festival","Silver Berlin Bear - Honorable Mention"
"Taormina International Film Festival","Cinema for UNICEF Award"
"Cannes Film Festival","Regard Intimity Award"
"Cannes Film Festival","C.I.C.A.E. Award - Special Mention"
"Münster Film Festival","Honorable Mention"
"Montréal World Film Festival","Grand Prize of the Jury"
"Seattle True Independent Film Festival","STIFFY"
"German Film Critics Association Awards","Special Award"
"Golden Camera, Germany","Lilli Palmer Memorial Camera"
"Lübeck Nordic Film Days","SOURCES Screenplay Prize"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Best Actress"
"TV Land Awards","Groundbreaking Show"
"Awards of the International Indian Film Academy","Popular Award"
"Bombay International Film Festival","Lifetime Achievement Award"
"Cairo International Film Festival for Children","Children's International Special Jury Prize"
"Filmfare Awards","Lifetime Achievement Award"
"Screen Weekly Awards","Screen"
"Screen Weekly Awards","Special Award"
"Zee Cine Awards","Lifetime Achievement Award"
"Apsara Film Producers Guild Awards","Apsara Award"
"Filmfail Awards","Filmfail Award"
"Zee Cine Awards","Technical Award"
"Filmfare Awards","Technical Award"
"Screen Weekly Awards","Jury Award"
"Palm Springs International ShortFest","Student Award"
"Women Film Critics Circle Awards","Courage in Acting Award"
"Cinemania Film Festival","Audience Award"
"Baden-Baden TV Film Festival","Collegium Budapest Student Jury Award"
"Cognac Festival du Film Policier","FR3 Grand Prix"
"LiteraVision, DE","LiteraVision Fernsehpreis"
"Max Ophüls Festival","Reader Jury of the """"""""Saarbrücker Zeitung"""""""""
"Mystfest","Best Artistic Contribution"
"Ourense Independent Film Festival","Special Mention"
"Berlin International Film Festival","C.I.D.A.L.C. UNESCO Award"
"Cinequest San Jose Film Festival","Director's Award"
"Los Angeles Film Festival","Filmmaker Award"
"B-Movie Film Festival","B-Movie Award"
"Rhode Island International Film Festival","First Prize"
"Tampere International Short Film Festival","Best Documentary"
"Berlin International Film Festival","DIALOGUE en Perspective - Special Mention"
"Munich Film Festival","Bavarian Documentary Award"
"Nyon Visions du Réel","New Views Award"
"Venice Film Festival","Prize of the Forum for Cinema and Literature"
"Deauville Film Festival","Fun Radio Trophy"
"NCLR Bravo Awards","NCLR Bravo Award"
"Taos Talking Picture Festival","Cineaste Award"
"BIFEST - Bari International Film Festival","International Competition Award"
"Cottbus Film Festival of Young East European Cinema","Special Prize"
"Cottbus Film Festival of Young East European Cinema","FIPRESCI Prize"
"Cottbus Film Festival of Young East European Cinema","Award of the Ecumenical Jury - Special Mention"
"Golden Apricot Yerevan International Film Festival","Grand Prix - Golden Apricot"
"Tallinn Black Nights Film Festival","International Film Clubs Award - Special Mention"
"Trieste Film Festival","Audience Award"
"Wiesbaden goEast","Best Director"
"Wiesbaden goEast","FIPRESCI Prize"
"Image + Nation Festival Cinema LGBT Montreal Film Festival","Jury Award"
"Torino International Gay & Lesbian Film Festival","Special Jury Award"
"Giffoni Film Festival","Silver Gryphon"
"German Film Awards","Director's Award in Gold"
"Undine Awards, Austria","Lifetime Achievement in Youth Promotion"
"Bambi Awards","Special Award"
"German Film Awards","Bernd Eichinger Memorial Award"
"German Film Awards","Special Award"
"German Film Awards","Audience Award"
"Whistler Film Festival","Phillip Borsos Award"
"Cognac Festival du Film Policier","Best Actor"
"Hamburg Film Festival","TV Producer Award"
"Ale Kino! - International Young Audience Film Festival","Poznan Goat"
"Awards of the International Indian Film Academy","Award for Technical Excellence"
"Cairo International Film Festival","Best Director"
"Kerala State Film Awards","Kerala State Film Award"
"Sarajevo Film Festival","Panorama Jury Prize - Honorable Mention"
"WorldFest Houston","Grand Award"
"Venice Film Festival","Bronze Lion"
"Canadian Film Awards","Canadian Film Award"
"Jutra Awards","Special Jutra"
"Fotogramas de Plata","Special Award"
"Turia Awards","Special Mention"
"Valladolid International Film Festival","Honorable Mention"
"Stockholm Film Festival","Aluminum Horse"
"European Film Awards","Young Audience Award"
"Krakow Film Festival","Don Quixote Award"
"Taormina International Film Festival","Golden Tauro"
"Verona Love Screens Film Festival","Career Achievement Award"
"Filmfare Awards","Special Award"
"GQ Awards, India","GQ Award"
"American Black Film Festival","Best Director"
"Santa Barbara International Film Festival","Best Director Award"
"German Film Awards","Silver Vase"
"Bilbao International Festival of Documentary and Short Films","Grand Prix"
"Pula Film Festival of Yugoslavian Films","Silver Arena"
"Hungarian Film Week","Sándor Simó Memorial Award"
"Hungarian Film Week","""""""""Gene Moskowitz"""""""" Critics Award"
"Art Film Festival","Jury Award"
"Auteur Film Festival","Aleksandar Sasa Petrovic Grand Prix"
"Bucharest International Film Festival","Festival Prize"
"Entrevues Film Festival","Audience Award"
"Mannheim-Heidelberg International Filmfestival","Recommendations of Cinema Owners"
"Palm Springs International Film Festival","New Voices/New Visions Grand Jury Prize"
"Paris Cinema","Young Filmmaker Award"
"Vesoul Asian Film Festival","Audience Award"
"Premiere New Power Awards","Premiere New Power Award"
"Golden Camera, Germany","Audience Camera"
"TeleStar, Germany","Honorary Award"
"Hong Kong International Film Festival","Firebird Award - Special Mention"
"Hong Kong International Film Festival","Golden Firebird Award"
"Leipzig DOK Festival","Honorable Mention"
"Sichuan TV Festival","Gold Panda"
"Angers European First Film Festival","Procirep Award"
"Angers European First Film Festival","SACD Grand Prize"
"Bergamo Film Meeting","Bronze Rosa Camuna"
"Bogota Film Festival","Silver Precolumbian Circle"
"Viennale","Reader Jury of the """"""""Standard"""""""" - Honorable Mention"
"Los Angeles Film Critics Association Awards","Special Citation"
"RiverRun International Film Festival","Master of Cinema"
"Cannes Film Festival","International Jury Prize"
"German Film Awards","Silver Cup"
"Schwerin Art of Film Festival","Audience Award"
"Bordeaux International Festival of Women in Cinema","Special Mention"
"Pesaro International Film Festival of New Cinema","Young Critics Award"
"MTV Movie Awards, Mexico","MTV Movie Award"
"National Board of Review, USA","Special Achievement in Filmmaking Award"
"Venice Film Festival","Volpi Cup"
"Berlin International Film Festival","EFP Shooting Star"
"Max Ophüls Festival","Best Young Actress"
"Mystfest","Best Actress"
"Montréal World Film Festival","Prix du Festival"
"Pacific Meridian International Film Festival of Asia Pacific Countries","Audience Choice Award"
"Toronto International Film Festival","Innovation Award"
"Cottbus Film Festival of Young East European Cinema","Grand Prize"
"Tbilisi International Film Festival","Golden Prometheus"
"Tbilisi International Film Festival","Silver Prometheus"
"VIFF Vienna Independent Film Festival","Golden Statuette"
"Hessian Film Award","Young Talent Award"
"Max Ophüls Festival","Pupils Jury Award"
"Berlin International Film Festival","Deutsches Kinderhilfswerk - Special Award"
"Berlin International Film Festival","Crystal Bear - Special Mention"
"Humboldt International Film Festival","Best Immigrant Story"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Best Short"
"Paris International Lesbian and Feminist Film Festival","Audience Award"
"ASCAP Film and Television Music Awards","Pied Piper Award"
"Chamizal Independent Film Festival","Lifetime Achievement Award"
"Huelva Latin American Film Festival","Prize of the City of Huelva"
"Karlovy Vary International Film Festival","President's Award"
"Moscow International Film Festival","Andrei Tarkovsky Award"
"Locarno International Film Festival","Excellence Award"
"National Movie Awards, UK","National Movie Award"
"San Diego Film Critics Society Awards","Special Award"
